Sira,MAHALLE,IL,ILCE
12783,SARILAR,GAZİANTEP,YAVUZELİ
12784,SÜLEYMANOBASI,GAZİANTEP,YAVUZELİ
12785,ŞENLİKÇE,GAZİANTEP,YAVUZELİ
12786,TOKAÇLI,GAZİANTEP,YAVUZELİ
12787,ÜÇGÖL,GAZİANTEP,YAVUZELİ
12788,YARIMCA,GAZİANTEP,YAVUZELİ
12789,YÖRELİ,GAZİANTEP,YAVUZELİ
12790,YUKARIKEKLİKTEPE,GAZİANTEP,YAVUZELİ
12791,YUKARIYENİKÖY,GAZİANTEP,YAVUZELİ
13078,CUMHURİYET,HAKKARİ,ÇUKURCA
13079,EMİRŞABAN,HAKKARİ,ÇUKURCA
13080,YEŞİLÇEŞME,HAKKARİ,ÇUKURCA
13081,GÜRMEŞE,HAKKARİ,DERECİK
13082,RİZE,HAKKARİ,DERECİK
13083,VAPURTEPE,HAKKARİ,DERECİK
13084,ORTA,HAKKARİ,DERECİK
13085,ÜÇYAN,HAKKARİ,DERECİK
13086,MERKEZ,HAKKARİ,DERECİK
13087,BALKAYA,HAKKARİ,DERECİK
13088,GÜNEY,HAKKARİ,DERECİK
13089,HACIBEY,HAKKARİ,DERECİK
13090,BAĞLAR,HAKKARİ,HAKKARİ-İL MERKEZİ
13091,BULAK,HAKKARİ,HAKKARİ-İL MERKEZİ
13092,BİÇER,HAKKARİ,HAKKARİ-İL MERKEZİ
13093,DAĞGÖL,HAKKARİ,HAKKARİ-İL MERKEZİ
13094,MERZAN,HAKKARİ,HAKKARİ-İL MERKEZİ
13095,GAZİ,HAKKARİ,HAKKARİ-İL MERKEZİ
13096,MEDRESE,HAKKARİ,HAKKARİ-İL MERKEZİ
13097,KIRAN,HAKKARİ,HAKKARİ-İL MERKEZİ
13098,KEKLİKPINAR,HAKKARİ,HAKKARİ-İL MERKEZİ
13099,PEHLİVAN,HAKKARİ,HAKKARİ-İL MERKEZİ
13100,YENİ,HAKKARİ,HAKKARİ-İL MERKEZİ
13101,HALİFE DERVİŞ,HAKKARİ,HAKKARİ-İL MERKEZİ
13102,BERÇELAN,HAKKARİ,HAKKARİ-İL MERKEZİ
13103,SÜMBÜL,HAKKARİ,HAKKARİ-İL MERKEZİ
13104,KARŞIYAKA,HAKKARİ,HAKKARİ-İL MERKEZİ
13105,KÖYİÇİ,HAKKARİ,MERKEZ
13106,ÇAYLICA,HAKKARİ,MERKEZ
13107,BAĞLARBAŞI,HAKKARİ,MERKEZ
13108,BİÇENEK,HAKKARİ,MERKEZ
13109,YENİ MAHALLE,HAKKARİ,MERKEZ
13110,CUMHURİYET,HAKKARİ,MERKEZ
13111,PINARBAŞI,HAKKARİ,MERKEZ
13112,MODA,HAKKARİ,ŞEMDİNLİ
13113,YAYLA,HAKKARİ,ŞEMDİNLİ
13114,YENİ,HAKKARİ,ŞEMDİNLİ
13115,KARŞIYAKA,HAKKARİ,ŞEMDİNLİ
13116,BEŞEVLER,HAKKARİ,ŞEMDİNLİ
13117,MERKEZ,HAKKARİ,YÜKSEKOVA
13118,KEREM ZEYDAN,HAKKARİ,YÜKSEKOVA
13119,YEŞİLOVA,HAKKARİ,YÜKSEKOVA
13120,MERKEZ,HAKKARİ,YÜKSEKOVA
13121,GÜVENLİ,HAKKARİ,YÜKSEKOVA
13122,YILMAZ,HAKKARİ,YÜKSEKOVA
13123,SARIYILDIZ,HAKKARİ,YÜKSEKOVA
13124,ESENYURT,HAKKARİ,YÜKSEKOVA
13125,CUMHURİYET,HAKKARİ,YÜKSEKOVA
13126,DİZE,HAKKARİ,YÜKSEKOVA
13127,MEZARLIK,HAKKARİ,YÜKSEKOVA
13128,GÜNGÖR,HAKKARİ,YÜKSEKOVA
13129,ESKİKIŞLA,HAKKARİ,YÜKSEKOVA
13130,ESENTEPE,HAKKARİ,YÜKSEKOVA
13131,İPEK,HAKKARİ,YÜKSEKOVA
13132,YENİ,HAKKARİ,YÜKSEKOVA
13133,YEŞİLDERE,HAKKARİ,YÜKSEKOVA
13134,HANYOLU,HATAY,ALTINÖZÜ
13135,SOFULAR,HATAY,ALTINÖZÜ
13136,ALTINKAYA,HATAY,ALTINÖZÜ
13137,HACIPAŞA,HATAY,ALTINÖZÜ
13138,AKAMBER,HATAY,ALTINÖZÜ
13139,AKDARI,HATAY,ALTINÖZÜ
13140,ALAKENT,HATAY,ALTINÖZÜ
13141,ATAYURDU,HATAY,ALTINÖZÜ
13142,AVUTTEPE,HATAY,ALTINÖZÜ
13143,BOYNUYOĞUN,HATAY,ALTINÖZÜ
13144,BÜYÜKBURÇ,HATAY,ALTINÖZÜ
13145,ENEK,HATAY,ALTINÖZÜ
13146,KAMBERLİ,HATAY,ALTINÖZÜ
13147,KARSU,HATAY,ALTINÖZÜ
13148,KAZANCIK,HATAY,ALTINÖZÜ
13149,KIYIGÖREN,HATAY,ALTINÖZÜ
13150,KOZKALESİ,HATAY,ALTINÖZÜ
13151,KURTMEZRAASI,HATAY,ALTINÖZÜ
13152,TEPEHAN,HATAY,ALTINÖZÜ
13153,TOKAÇLI,HATAY,ALTINÖZÜ
13154,TOKDEMİR,HATAY,ALTINÖZÜ
13155,TOPRAKHİSAR,HATAY,ALTINÖZÜ
13156,YARSELİ,HATAY,ALTINÖZÜ
13157,YUNUSHANI,HATAY,ALTINÖZÜ
13158,ZİYARET,HATAY,ALTINÖZÜ
13159,BABATORUN,HATAY,ALTINÖZÜ
13160,ÇETENLİ,HATAY,ALTINÖZÜ
13161,KANSU,HATAY,ALTINÖZÜ
13162,KESKİNCİK,HATAY,ALTINÖZÜ
13163,MAYADALI,HATAY,ALTINÖZÜ
13164,OYMAKLI,HATAY,ALTINÖZÜ
13165,TÜRKMENMEZRAASI,HATAY,ALTINÖZÜ
13166,YOLAĞZI,HATAY,ALTINÖZÜ
13167,DOKUZDAL,HATAY,ALTINÖZÜ
13168,ERBAŞI,HATAY,ALTINÖZÜ
13169,GÖZECİK,HATAY,ALTINÖZÜ
13170,GÜNVURAN,HATAY,ALTINÖZÜ
13171,KILIÇTUTAN,HATAY,ALTINÖZÜ
13172,KOLCULAR,HATAY,ALTINÖZÜ
13173,SARIBÜK,HATAY,ALTINÖZÜ
13174,SEFERLİ,HATAY,ALTINÖZÜ
13175,SİVRİKAVAK,HATAY,ALTINÖZÜ
13176,YANIKPINAR,HATAY,ALTINÖZÜ
13177,KARBEYAZ,HATAY,ALTINÖZÜ
13178,FATİKLİ,HATAY,ALTINÖZÜ
13179,SARILAR,HATAY,ALTINÖZÜ
13180,YENİŞEHİR,HATAY,ALTINÖZÜ
13181,YENİHİSAR,HATAY,ALTINÖZÜ
13182,HABİB-İ NECCAR,HATAY,ANTAKYA
13183,BARBAROS,HATAY,ANTAKYA
13184,BİNİCİLER,HATAY,ANTAKYA
13185,CEBRAİL,HATAY,ANTAKYA
13186,CUMHURİYET,HATAY,ANTAKYA
13187,DUTDİBİ,HATAY,ANTAKYA
13188,FEVZİÇAKMAK,HATAY,ANTAKYA
13189,GAZİPAŞA,HATAY,ANTAKYA
13190,GÜLLÜBAHÇE,HATAY,ANTAKYA
13191,HARAPARASI,HATAY,ANTAKYA
13192,HAVUZLAR,HATAY,ANTAKYA
13193,İPLİK PAZARI,HATAY,ANTAKYA
13194,KANTARA,HATAY,ANTAKYA
13195,KARAALİBÖLÜĞÜ,HATAY,ANTAKYA
13196,KARDEŞLER,HATAY,ANTAKYA
13197,KIŞLASARAY,HATAY,ANTAKYA
13198,KOCAABDİ,HATAY,ANTAKYA
13199,KUYULU,HATAY,ANTAKYA
13200,MEYDAN,HATAY,ANTAKYA
13201,SOFULAR,HATAY,ANTAKYA
13202,ŞEHİTLER,HATAY,ANTAKYA
13203,ŞEYHALİ,HATAY,ANTAKYA
13204,ŞİRİNCE,HATAY,ANTAKYA
13205,ULUCAMİ,HATAY,ANTAKYA
13206,YENİCAMİ,HATAY,ANTAKYA
13207,ZENGİNLER,HATAY,ANTAKYA
13208,EMEK,HATAY,ANTAKYA
13209,AYDINLIKEVLER,HATAY,ANTAKYA
13210,BAĞRIYANIK,HATAY,ANTAKYA
13211,ALTINÇAY,HATAY,ANTAKYA
13212,ESENTEPE,HATAY,ANTAKYA
13213,ESENLİK,HATAY,ANTAKYA
13214,AKHİSAR,HATAY,ANTAKYA
13215,GENERAL ŞÜKRÜ KANATLI,HATAY,ANTAKYA
13216,AKASYA,HATAY,ANTAKYA
13217,BİTİREN,HATAY,ANTAKYA
13218,BOŞİN,HATAY,ANTAKYA
13219,BOZHÜYÜK,HATAY,ANTAKYA
13220,DEMİRKÖPRÜ,HATAY,ANTAKYA
13221,GÖKÇEGÖZ,HATAY,ANTAKYA
13222,HASANLI,HATAY,ANTAKYA
13223,KURUYER,HATAY,ANTAKYA
13224,MADENBOYU,HATAY,ANTAKYA
13225,MANSURLU,HATAY,ANTAKYA
13226,MELEKLİ,HATAY,ANTAKYA
13227,SAÇAKLI,HATAY,ANTAKYA
13228,SUVATLI,HATAY,ANTAKYA
13229,TANIŞMA,HATAY,ANTAKYA
13230,ÜZÜMDALI,HATAY,ANTAKYA
13231,YEŞİLOVA,HATAY,ANTAKYA
13232,SARAYCIK,HATAY,ANTAKYA
13233,YAYLACIK,HATAY,ANTAKYA
13234,ALAHAN,HATAY,ANTAKYA
13235,ALAZI,HATAY,ANTAKYA
13236,ANAYAZI,HATAY,ANTAKYA
13237,ARPAHAN,HATAY,ANTAKYA
13238,AŞAĞIOBA,HATAY,ANTAKYA
13239,DERİNCE,HATAY,ANTAKYA
13240,DİKMECE,HATAY,ANTAKYA
13241,GÜLDEREN,HATAY,ANTAKYA
13242,MARAŞBOĞAZI,HATAY,ANTAKYA
13243,OĞLAKÖREN,HATAY,ANTAKYA
13244,PAŞAKÖY,HATAY,ANTAKYA
13245,TAHTAKÖPRÜ,HATAY,ANTAKYA
13246,UZUNALİÇ,HATAY,ANTAKYA
13247,ÜÇGEDİK,HATAY,ANTAKYA
13248,ZÜLÜFLÜHAN,HATAY,ANTAKYA
13249,AÇIKDERE,HATAY,ANTAKYA
13250,AKCURUN,HATAY,ANTAKYA
13251,ALAATTİN,HATAY,ANTAKYA
13252,APAYDIN,HATAY,ANTAKYA
13253,GÜNYAZI,HATAY,ANTAKYA
13254,KİSECİK,HATAY,ANTAKYA
13255,BÜYÜKDALYAN,HATAY,ANTAKYA
13256,DOĞANKÖY,HATAY,ANTAKYA
13257,AVSUYU,HATAY,ANTAKYA
13258,KÜÇÜKDALYAN,HATAY,ANTAKYA
13259,MAŞUKLU,HATAY,ANTAKYA
13260,NARLICA,HATAY,ANTAKYA
13261,EKİNCİ,HATAY,ANTAKYA
13262,GÜZELBURÇ,HATAY,ANTAKYA
13263,KARLISU,HATAY,ANTAKYA
13264,KUZEYTEPE,HATAY,ANTAKYA
13265,SERİNYOL,HATAY,ANTAKYA
13266,KARAALİ,HATAY,ANTAKYA
13267,OVAKENT,HATAY,ANTAKYA
13268,ODABAŞI,HATAY,ANTAKYA
13269,AKÇAOVA,HATAY,ANTAKYA
13270,AKEVLER,HATAY,ANTAKYA
13271,AKSARAY,HATAY,ANTAKYA
13272,GAZİ,HATAY,ANTAKYA
13273,HACI ÖMER ALPAGOT,HATAY,ANTAKYA
13274,ORHANLI,HATAY,ANTAKYA
13275,ÜRGENPAŞA,HATAY,ANTAKYA
13276,SARAYKENT,HATAY,ANTAKYA
13277,TÜLEK,HATAY,ARSUZ
13278,GÖKMEYDAN,HATAY,ARSUZ
13279,AKÇALI,HATAY,ARSUZ
13280,GÖZCÜLER,HATAY,ARSUZ
13281,MADENLİ,HATAY,ARSUZ
13282,ÜÇGÜLLÜK,HATAY,ARSUZ
13283,NARDÜZÜ,HATAY,ARSUZ
13284,PİRİNÇLİK,HATAY,ARSUZ
13285,HARLISU,HATAY,ARSUZ
13286,HELVALI,HATAY,ARSUZ
13287,KARAHÜSEYİNLİ,HATAY,ARSUZ
13288,KIŞLA,HATAY,ARSUZ
13289,KOZAKLI,HATAY,ARSUZ
13290,NERGİZLİK,HATAY,ARSUZ
13291,ARPADERESİ,HATAY,ARSUZ
13292,ARPAGEDİK,HATAY,ARSUZ
13293,AVCILARSUYU,HATAY,ARSUZ
13294,BEYKÖYÜ,HATAY,ARSUZ
13295,DEREKUYU,HATAY,ARSUZ
13296,GÜLCİHAN,HATAY,ARSUZ
13297,HACIAHMETLİ,HATAY,ARSUZ
13298,HAYMASEKİ,HATAY,ARSUZ
13299,HÜYÜK,HATAY,ARSUZ
13300,IŞIKLI,HATAY,ARSUZ
13301,KALE,HATAY,ARSUZ
13302,KARAGÖZ,HATAY,ARSUZ
13303,AŞAĞI KEPİRCE,HATAY,ARSUZ
13304,KONACIK,HATAY,ARSUZ
13305,KURTBAĞI,HATAY,ARSUZ
13306,TATARLI,HATAY,ARSUZ
13307,YUKARIKEPİRCE,HATAY,ARSUZ
13308,ÇETİLLİK,HATAY,ARSUZ
13309,ARPAÇİFTLİK,HATAY,ARSUZ
13310,KARAAĞAÇ CUMHURİYET MAHALLESİ,HATAY,ARSUZ
13311,KARAAĞAÇ ŞARKKONAK MAHALLESİ,HATAY,ARSUZ
13312,KARAAĞAÇ ÖVÜNDÜK MAHALLESİ,HATAY,ARSUZ
13313,KARAAĞAÇ KONARLI,HATAY,ARSUZ
13314,ULUÇINAR,HATAY,ARSUZ
13315,İSSUME,HATAY,BELEN
13316,FATİH,HATAY,BELEN
13317,MUHLİSALİ,HATAY,BELEN
13318,SARIMAZI,HATAY,BELEN
13319,CUMHURİYET,HATAY,BELEN
13320,HALİLBEY,HATAY,BELEN
13321,ATİK,HATAY,BELEN
13322,BENLİDERE,HATAY,BELEN
13323,ÇAKALLI,HATAY,BELEN
13324,ÇERÇİKAYA,HATAY,BELEN
13325,SOĞUKOLUK,HATAY,BELEN
13326,ŞEKERE,HATAY,BELEN
13327,KICI,HATAY,BELEN
13328,KÖMÜRÇUKURU,HATAY,BELEN
13329,MÜFTÜLER,HATAY,BELEN
13330,ÖTENÇAY,HATAY,BELEN
13331,ŞENBÜK,HATAY,BELEN
13332,BAKRAS,HATAY,BELEN
13333,DEREBAHÇE,HATAY,BELEN
13334,ÇINARLI,HATAY,DEFNE
13335,KARŞIYAKA,HATAY,DEFNE
13336,AKNEHİR,HATAY,DEFNE
13337,SUBAŞI,HATAY,DEFNE
13338,TOYGARLI,HATAY,DEFNE
13339,TURUNÇLU,HATAY,DEFNE
13340,HARBİYE,HATAY,DEFNE
13341,GÜMÜŞGÖZE,HATAY,DEFNE
13342,YEŞİLPINAR,HATAY,DEFNE
13343,ÇEKMECE,HATAY,DEFNE
13344,DURSUNLU,HATAY,DEFNE
13345,TAVLA,HATAY,DEFNE
13346,BAHÇEKÖY,HATAY,DEFNE
13347,BALIKLIDERE,HATAY,DEFNE
13348,BOSTANCIK,HATAY,DEFNE
13349,ÇARDAKLI,HATAY,DEFNE
13350,DEĞİRMENYOLU,HATAY,DEFNE
13351,DÖVER,HATAY,DEFNE
13352,SAMANKAYA,HATAY,DEFNE
13353,SİNANLI,HATAY,DEFNE
13354,BALLIÖZ,HATAY,DEFNE
13355,AŞAĞIOKÇULAR,HATAY,DEFNE
13356,ARMUTLU,HATAY,DEFNE
13357,ELEKTRİK,HATAY,DEFNE
13358,AKDENİZ,HATAY,DEFNE
13359,SÜMERLER,HATAY,DEFNE
13360,KOÇÖREN,HATAY,DEFNE
13361,MEYDANCIK,HATAY,DEFNE
13362,ORHANLI,HATAY,DEFNE
13363,GÜNEYSÖĞÜT,HATAY,DEFNE
13364,BÜYÜKÇAT,HATAY,DEFNE
13365,ÜZENGİLİ,HATAY,DEFNE
13366,ÇÖKEK,HATAY,DEFNE
13367,ÖZBEK,HATAY,DEFNE
13368,HANCAĞIZ,HATAY,DEFNE
13369,HÜSEYİNLİ,HATAY,DEFNE
13370,YENİÇAĞ,HATAY,DEFNE
13371,KIŞLALAR,HATAY,DÖRTYOL
13372,NUMUNE EVLER,HATAY,DÖRTYOL
13373,SANAYİ,HATAY,DÖRTYOL
13374,ÖZERLİ,HATAY,DÖRTYOL
13375,YEŞİL,HATAY,DÖRTYOL
13376,ÇAYLI,HATAY,DÖRTYOL
13377,OCAKLI,HATAY,DÖRTYOL
13378,ÇATKÖY,HATAY,DÖRTYOL
13379,KAPILI,HATAY,DÖRTYOL
13380,KONAKLI,HATAY,DÖRTYOL
13381,ALTINÇAĞ,HATAY,DÖRTYOL
13382,KARAKESE,HATAY,DÖRTYOL
13383,KUZUCULU,HATAY,DÖRTYOL
13384,YENİYURT,HATAY,DÖRTYOL
13385,YEŞİLKÖY,HATAY,DÖRTYOL
13386,AŞAĞIBURNAZ,HATAY,ERZİN
13387,BAŞLAMIŞ,HATAY,ERZİN
13388,GÖKDERE,HATAY,ERZİN
13389,KIZLARÇAYI,HATAY,ERZİN
13390,KUYULUK,HATAY,ERZİN
13391,TURUNÇLU,HATAY,ERZİN
13392,YEŞİLTEPE,HATAY,ERZİN
13393,YONCADÜZÜ,HATAY,ERZİN
13394,YUKARIBURNAZ,HATAY,ERZİN
13395,BAHÇELİEVLER,HATAY,ERZİN
13396,CUMHURİYET,HATAY,ERZİN
13397,HÜRRİYET,HATAY,ERZİN
13398,İSALI,HATAY,ERZİN
13399,İSTİKLAL,HATAY,ERZİN
13400,KARAMUSTAFALI,HATAY,ERZİN
13401,MAHMUTLU,HATAY,ERZİN
13402,MUSTAFALI,HATAY,ERZİN
13403,ŞÜKRÜ PAŞA,HATAY,ERZİN
13404,YENİ,HATAY,ERZİN
13405,GÖKGÖL,HATAY,ERZİN
13406,SUGEDİĞİ,HATAY,HASSA
13407,HAYDARLAR,HATAY,HASSA
13408,AKKÜLEK,HATAY,HASSA
13409,BUHARA,HATAY,HASSA
13410,GÜLKENT,HATAY,HASSA
13411,BADEMLİ,HATAY,HASSA
13412,ÇAY,HATAY,HASSA
13413,YENİ,HATAY,HASSA
13414,ONBEŞKASIM,HATAY,HASSA
13415,GİRNE,HATAY,HASSA
13416,TEPEBAŞI,HATAY,HASSA
13417,DERVİŞPAŞA,HATAY,HASSA
13418,ARPALIUŞAĞI,HATAY,HASSA
13419,AŞAĞIKARAFAKILI,HATAY,HASSA
13420,BİNTAŞ,HATAY,HASSA
13421,ÇINARBAŞI,HATAY,HASSA
13422,DEDEMLİ,HATAY,HASSA
13423,GAZELUŞAĞI,HATAY,HASSA
13424,HACILAR,HATAY,HASSA
13425,KORU HÖYÜK,HATAY,HASSA
13426,SAPANÖZÜ,HATAY,HASSA
13427,TİYEK,HATAY,HASSA
13428,YENİYAPAN,HATAY,HASSA
13429,YOLUKLAR,HATAY,HASSA
13430,YUKARIKARAFAKILI,HATAY,HASSA
13431,DEMREK,HATAY,HASSA
13432,EĞRİBUCAK,HATAY,HASSA
13433,GÜLPINAR,HATAY,HASSA
13434,GÜVENÇ,HATAY,HASSA
13435,KATRANLIK,HATAY,HASSA
13436,MAZMANLI,HATAY,HASSA
13437,YUKARIBUCAK,HATAY,HASSA
13438,YUVALI,HATAY,HASSA
13439,ZEYTİNOBA,HATAY,HASSA
13440,AKBEZ,HATAY,HASSA
13441,ARDIÇLI,HATAY,HASSA
13442,AKTEPE,HATAY,HASSA
13443,KÜRECİ,HATAY,HASSA
13444,SÖĞÜT,HATAY,HASSA
13445,AZGANLIK,HATAY,İSKENDERUN
13446,KALEDİBİ,HATAY,İSKENDERUN
13447,MODERNEVLER,HATAY,İSKENDERUN
13448,MUSTAFA KEMAL,HATAY,İSKENDERUN
13449,BEKBELE,HATAY,İSKENDERUN
13450,DENİZCİLER,HATAY,İSKENDERUN
13451,KARAYILAN,HATAY,İSKENDERUN
13452,SARISEKİ,HATAY,İSKENDERUN
13453,AKARCA,HATAY,İSKENDERUN
13454,SUÇIKAĞI,HATAY,İSKENDERUN
13455,ORHANGAZİ,HATAY,İSKENDERUN
13456,KAVAKLIOLUK,HATAY,İSKENDERUN
13457,AŞKARBEYLİ,HATAY,İSKENDERUN
13458,BİTİŞİK,HATAY,İSKENDERUN
13459,BÜYÜKDERE,HATAY,İSKENDERUN
13460,ÇINARLI,HATAY,İSKENDERUN
13461,CIRTIMAN,HATAY,İSKENDERUN
13462,CEBİKE,HATAY,İSKENDERUN
13463,AKÇAY,HATAY,İSKENDERUN
13464,BARBAROS,HATAY,İSKENDERUN
13465,ÇAY,HATAY,İSKENDERUN
13466,DUMLUPINAR,HATAY,İSKENDERUN
13467,ESENTEPE,HATAY,İSKENDERUN
13468,GÜRSEL,HATAY,İSKENDERUN
13469,KURTULUŞ,HATAY,İSKENDERUN
13470,NUMUNE,HATAY,İSKENDERUN
13471,SAVAŞ,HATAY,İSKENDERUN
13472,SÜLEYMANİYE,HATAY,İSKENDERUN
13473,YENİŞEHİR,HATAY,İSKENDERUN
13474,GÜZELÇAY,HATAY,İSKENDERUN
13475,KOCATEPE,HATAY,İSKENDERUN
13476,SAKARYA,HATAY,İSKENDERUN
13477,MEYDAN,HATAY,İSKENDERUN
13478,CUMHURİYET,HATAY,İSKENDERUN
13479,PİRİREİS,HATAY,İSKENDERUN
13480,HÜRRİYET,HATAY,İSKENDERUN
13481,PINARBAŞI,HATAY,İSKENDERUN
13482,MURADİYE,HATAY,İSKENDERUN
13483,BARIŞTEPE,HATAY,İSKENDERUN
13484,YILDIRIMTEPE,HATAY,İSKENDERUN
13485,GÜLTEPE,HATAY,İSKENDERUN
13486,YUNUSEMRE,HATAY,İSKENDERUN
13487,FATİHSULTAN,HATAY,İSKENDERUN
13488,BULUTTEPE,HATAY,İSKENDERUN
13489,İSMET İNÖNÜ,HATAY,İSKENDERUN
13490,ALSANCAK,HATAY,KIRIKHAN
13491,BARBAROS,HATAY,KIRIKHAN
13492,CUMHURİYET,HATAY,KIRIKHAN
13493,408 EVLER,HATAY,KIRIKHAN
13494,GÜNDÜZ,HATAY,KIRIKHAN
13495,KURTULUŞ,HATAY,KIRIKHAN
13496,YENİ,HATAY,KIRIKHAN
13497,MENDERES,HATAY,KIRIKHAN
13498,AYDINLI,HATAY,KIRIKHAN
13499,ÇANKAYA,HATAY,KIRIKHAN
13500,ALPARSLAN,HATAY,KIRIKHAN
13501,ÖZYÖRÜK,HATAY,KIRIKHAN
13502,ADALAR,HATAY,KIRIKHAN
13503,ABALAKLI,HATAY,KIRIKHAN
13504,AKTUTAN,HATAY,KIRIKHAN
13505,ALAYBEYLİ,HATAY,KIRIKHAN
13506,ALİBEYÇAĞILLI,HATAY,KIRIKHAN
13507,ARKITÇA,HATAY,KIRIKHAN
13508,BALARMUDU,HATAY,KIRIKHAN
13509,BALDIRAN,HATAY,KIRIKHAN
13510,BAŞPINAR,HATAY,KIRIKHAN
13511,BEKTAŞLI,HATAY,KIRIKHAN
13512,CEYLANLI,HATAY,KIRIKHAN
13513,ÇAMSEKİ,HATAY,KIRIKHAN
13514,ÇATALTEPE,HATAY,KIRIKHAN
13515,ÇİLOĞLANHÜYÜĞÜ,HATAY,KIRIKHAN
13516,DANAAHMETLİ,HATAY,KIRIKHAN
13517,DEDEÇINAR,HATAY,KIRIKHAN
13518,DELİBEKİRLİ,HATAY,KIRIKHAN
13519,GÖLBAŞI,HATAY,KIRIKHAN
13520,GÜVENTAŞI,HATAY,KIRIKHAN
13521,GÜZELCE,HATAY,KIRIKHAN
13522,ILIKPINAR,HATAY,KIRIKHAN
13523,İÇADA,HATAY,KIRIKHAN
13524,KAMBERLİKAYA,HATAY,KIRIKHAN
13525,KAMIŞLAR,HATAY,KIRIKHAN
13526,KANGALLAR,HATAY,KIRIKHAN
13527,KARAÇAĞIL,HATAY,KIRIKHAN
13528,KARADURMUŞLU,HATAY,KIRIKHAN
13529,KARAELMASLI,HATAY,KIRIKHAN
13530,KARAMAĞARA,HATAY,KIRIKHAN
13531,KARAMANKAŞI,HATAY,KIRIKHAN
13532,KARATAŞ,HATAY,KIRIKHAN
13533,KAZKELİ,HATAY,KIRIKHAN
13534,KODALLI,HATAY,KIRIKHAN
13535,KURTLUSARIMAZI,HATAY,KIRIKHAN
13536,MAHMUTLU,HATAY,KIRIKHAN
13537,MURATPAŞA,HATAY,KIRIKHAN
13538,KIZILKAYA,HATAY,KIRIKHAN
13539,NARLIHOPUR,HATAY,KIRIKHAN
13540,ÖZKIZILKAYA,HATAY,KIRIKHAN
13541,REŞATLI,HATAY,KIRIKHAN
13542,SAYLAK,HATAY,KIRIKHAN
13543,SÖĞÜTLÜÖZ,HATAY,KIRIKHAN
13544,SUCUKÖY,HATAY,KIRIKHAN
13545,ÖZSOĞUKSU,HATAY,KIRIKHAN
13546,TAŞOLUK,HATAY,KIRIKHAN
13547,TOPBOĞAZI,HATAY,KIRIKHAN
13548,TORUN,HATAY,KIRIKHAN
13549,YILANLI,HATAY,KIRIKHAN
13550,ÇAMSARI,HATAY,KIRIKHAN
13551,AYGIRGÖLÜ,HATAY,KIRIKHAN
13552,CAMUZKIŞLASI,HATAY,KIRIKHAN
13553,DEMİRKONAK,HATAY,KIRIKHAN
13554,GÜLTEPE,HATAY,KIRIKHAN
13555,İNCİRLİ,HATAY,KIRIKHAN
13556,KALETEPE,HATAY,KIRIKHAN
13557,YALANGOZ,HATAY,KIRIKHAN
13558,KURTLUSOĞUKSU,HATAY,KIRIKHAN
13559,BAHÇELİEVLER,HATAY,KIRIKHAN
13560,GAZİ,HATAY,KIRIKHAN
13561,MİMARSİNAN,HATAY,KIRIKHAN
13562,FATİH,HATAY,KIRIKHAN
13563,CUMHURİYET,HATAY,KUMLU
13564,FEVZİÇAKMAK,HATAY,KUMLU
13565,GÖKÇEOĞLU,HATAY,KUMLU
13566,AKKERPİÇ,HATAY,KUMLU
13567,AKKUYU,HATAY,KUMLU
13568,AKPINAR,HATAY,KUMLU
13569,AKTAŞ,HATAY,KUMLU
13570,BATIAYRANCI,HATAY,KUMLU
13571,DOĞUAYRANCI,HATAY,KUMLU
13572,GÜLOVA,HATAY,KUMLU
13573,HAMAM,HATAY,KUMLU
13574,HATAYHAMAMI,HATAY,KUMLU
13575,KALETEPE,HATAY,KUMLU
13576,KELLİ,HATAY,KUMLU
13577,KIRCAOĞLU,HATAY,KUMLU
13578,MUHARREM,HATAY,KUMLU
13579,ÇAĞLALIK,HATAY,PAYAS
13580,KOZLUDERE,HATAY,PAYAS
13581,SİNCAN,HATAY,PAYAS
13582,YILDIRIM BEYAZIT,HATAY,PAYAS
13583,YENİŞEHİR,HATAY,PAYAS
13584,CUMHURİYET,HATAY,PAYAS
13585,FATİH,HATAY,PAYAS
13586,İSTİKLAL,HATAY,PAYAS
13587,KARBEYAZ,HATAY,PAYAS
13588,KARACAMİ,HATAY,PAYAS
13589,KARŞI,HATAY,PAYAS
13590,KÜRTÜL,HATAY,PAYAS
13591,ADABUCAĞI,HATAY,REYHANLI
13592,BAĞLAR,HATAY,REYHANLI
13593,BAYIR,HATAY,REYHANLI
13594,CUMHURİYET,HATAY,REYHANLI
13595,DEĞİRMENKAŞI,HATAY,REYHANLI
13596,BAHÇELİEVLER,HATAY,REYHANLI
13597,GÜLTEPE,HATAY,REYHANLI
13598,KURTULUŞ,HATAY,REYHANLI
13599,PINARBAŞI,HATAY,REYHANLI
13600,YENİ,HATAY,REYHANLI
13601,YENİŞEHİR,HATAY,REYHANLI
13602,YEŞİLOVA,HATAY,REYHANLI
13603,ESENTEPE,HATAY,REYHANLI
13604,FİDANLIK,HATAY,REYHANLI
13605,MUSTAFA KEMAL,HATAY,REYHANLI
13606,CÜDEYDE,HATAY,REYHANLI
13607,KUMTEPE,HATAY,REYHANLI
13608,AHMETBEYLİ,HATAY,REYHANLI
13609,AKYAYLA,HATAY,REYHANLI
13610,ALAKUZU,HATAY,REYHANLI
13611,BEŞASLAN,HATAY,REYHANLI
